in_filename;N;K;total_cost;time;solver;num_cameras;alpha;Configuration_Details
batman_N10_K2.dat;10;2;500;0.027019023895263672;Greedy;6;1;Loc10:M1:S[0110110] | Loc10:M1:S[1001101] | Loc5:M1:S[1011011] | Loc2:M1:S[1001101] | Loc8:M1:S[1001101] | Loc9:M1:S[0110110]
batman_N10_K3.dat;10;3;283;0.017786741256713867;Greedy;5;1;Loc8:M0:S[1011011] | Loc6:M0:S[1011011] | Loc4:M0:S[1101100] | Loc1:M0:S[0110110] | Loc3:M0:S[0110110]
batman_N10_K6.dat;10;6;167;0.04180502891540527;Greedy;3;1;Loc2:M2:S[0111111] | Loc6:M2:S[1011111] | Loc10:M4:S[1100000]
batman_N15_K10.dat;15;10;172;0.1451706886291504;Greedy;4;1;Loc14:M4:S[0111110] | Loc15:M6:S[0001100] | Loc15:M4:S[0110011] | Loc10:M6:S[1000001]
batman_N15_K10.dat;15;10;172;0.1483616828918457;Greedy;4;1;Loc14:M4:S[0111110] | Loc15:M6:S[0001100] | Loc15:M4:S[0110011] | Loc10:M6:S[1000001]
batman_N15_K10.dat;15;10;172;0.15107488632202148;Greedy;4;1;Loc14:M4:S[0111110] | Loc15:M6:S[0001100] | Loc15:M4:S[0110011] | Loc10:M6:S[1000001]
batman_N30_K10.dat;30;10;114;0.37696099281311035;Greedy;4;1;Loc29:M2:S[0011011] | Loc30:M2:S[1100001] | Loc30:M2:S[0000110] | Loc5:M2:S[0011110]
batman_N40_K20.dat;40;20;126;1.1343305110931396;Greedy;6;1;Loc6:M13:S[0011011] | Loc18:M13:S[1100110] | Loc16:M13:S[1011001] | Loc32:M13:S[1100110] | Loc2:M13:S[1101100] | Loc15:M13:S[0011011]
