in_filename;N;K;total_cost;time;solver;num_cameras;alpha;Configuration_Details
batman_N10_K2.dat;10;2;672;0.015671968460083008;Greedy;8;1;Loc1:M1:S[0110111] | Loc3:M1:S[0110111] | Loc10:M1:S[1011011] | Loc5:M1:S[1011011] | Loc2:M1:S[1001101] | Loc7:M1:S[0110110] | Loc8:M1:S[1001101] | Loc9:M1:S[0110110]
batman_N10_K3.dat;10;3;342;0.014531373977661133;Greedy;6;1;Loc7:M0:S[0110111] | Loc8:M0:S[1011011] | Loc6:M0:S[1011011] | Loc4:M0:S[1101100] | Loc1:M0:S[0110110] | Loc3:M0:S[0110110]
batman_N10_K6.dat;10;6;177;0.03463459014892578;Greedy;3;1;Loc2:M2:S[0111111] | Loc6:M2:S[1011111] | Loc7:M5:S[1100000]
batman_N20_K3.dat;20;3;141;0.07562065124511719;Greedy;6;1;Loc3:M1:S[0110111] | Loc10:M1:S[1011011] | Loc13:M1:S[1101100] | Loc9:M1:S[1101100] | Loc14:M1:S[1011011] | Loc6:M1:S[1001101]
batman_N20_K3.dat;20;3;141;0.0670781135559082;Greedy;6;1;Loc3:M1:S[0110111] | Loc10:M1:S[1011011] | Loc13:M1:S[1101100] | Loc9:M1:S[1101100] | Loc14:M1:S[1011011] | Loc6:M1:S[1001101]
batman_N30_K5.dat;30;5;459;0.17099809646606445;Greedy;6;1;Loc1:M4:S[0110111] | Loc15:M4:S[1011011] | Loc2:M4:S[1101100] | Loc6:M4:S[0110111] | Loc21:M4:S[1101100] | Loc7:M1:S[1001101]
batman_N30_K10.dat;30;10;158;0.3193478584289551;Greedy;5;1;Loc12:M2:S[0011111] | Loc15:M2:S[1100111] | Loc9:M2:S[1111001] | Loc6:M2:S[1111100] | Loc5:M2:S[0011110]
batman_N40_K20.dat;40;20;126;1.1320042610168457;Greedy;6;1;Loc6:M13:S[0011011] | Loc18:M13:S[1100110] | Loc16:M13:S[1011001] | Loc32:M13:S[1100110] | Loc2:M13:S[1101100] | Loc15:M13:S[0011011]
